text,context,qualifier,laterality,presence,primary_secondary,experiencer,treatment_stage,snomed_ct
bilateral myringotomy tubes,a sample note on bilateral myringotomy tubes,procedures,bilateral,,,patient,,
surgery,"surgery which drains fluid involves a small incision in the eardrum, so that the fluid can be gently removed and a tube can be inserted.",procedures,,confirmed,primary,patient,,
small incision,"surgery which drains fluid involves a small incision in the eardrum, so that the fluid can be gently removed and a tube can be inserted.",procedures,,confirmed,secondary,patient,pre-treatment,
fluid,"surgery which drains fluid involves a small incision in the eardrum, so that the fluid can be gently removed and a tube can be inserted.",signs,,confirmed,primary,patient,pre-treatment,
myringotomy and tubes,"the procedure, medically termed a myringotomy and tubes, or tympanostomy and tubes, is performed on children under general anesthesia.",diagnoses,,confirmed,primary,patient,pre-treatment,
tympanostomy and tubes,"the procedure, medically termed a myringotomy and tubes, or tympanostomy and tubes, is performed on children under general anesthesia.",diagnoses,,confirmed,primary,patient,pre-treatment,
children,"the procedure, medically termed a myringotomy and tubes, or tympanostomy and tubes, is performed on children under general anesthesia.",sociodemographics,,confirmed,primary,patient,,
general anesthesia,"the procedure, medically termed a myringotomy and tubes, or tympanostomy and tubes, is performed on children under general anesthesia.",treatments,,confirmed,secondary,patient,pre-treatment,
swollen membranes,"the need for the tube insertion is because the eardrum incision generally heals very rapidly (within a few days), which is not long enough for the swollen membranes in the middle ear to return to normal.",signs,,confirmed,primary,patient,post-treatment,
fluid will reaccumulate,"as soon as the eardrum heals, fluid will reaccumulate.",symptoms,,suspected,primary,patient,post-treatment,
air,"they keep the eardrum open, allow air to enter the middle ear space, and permit fluid in the middle ear to drain.",treatments,,confirmed,primary,patient,post-treatment,
ear infections,"they may have ear infections in the future, but most will clear up with medical treatment.",diagnoses,,suspected,secondary,patient,post-treatment,
medical treatment,"they may have ear infections in the future, but most will clear up with medical treatment.",treatments,,confirmed,secondary,patient,post-treatment,
physically remove,occasionally the physician has to physically remove the tube from the ear drum.,procedures,,suspected,secondary,,post-treatment,
